Serial number:,2045101
Channel:,CH1
Start date:,2024/04/04,Start time:,23:21:39
Sample:,1s
Reading #,Reading
NO.,Voltage,Current,Power,Status
1,5.059,0.515,2.605,CV
2,5.059,0.411,2.079,CV
3,5.059,0.472,2.388,CV
4,5.059,0.556,2.813,CV
5,5.059,0.473,2.393,CV
6,5.059,0.474,2.398,CV
7,5.059,0.476,2.408,CV
8,5.059,0.413,2.089,CV
9,5.059,0.475,2.403,CV
10,5.059,0.474,2.398,CV
11,5.059,0.474,2.398,CV
12,5.059,0.474,2.398,CV
13,5.059,0.482,2.438,CV
14,5.059,0.473,2.393,CV
15,5.059,0.440,2.226,CV
16,5.059,0.472,2.388,CV
17,5.059,0.472,2.388,CV
18,5.059,0.549,2.777,CV
19,5.059,0.576,2.914,CV
20,5.059,0.583,2.949,CV
21,5.059,0.583,2.949,CV
22,5.059,0.594,3.005,CV
23,5.060,0.688,3.481,CV
24,5.059,0.778,3.936,CV
25,5.059,0.910,4.604,CV
26,5.059,1.106,5.595,CV
27,5.059,0.957,4.841,CV
28,5.059,0.938,4.745,CV
29,5.059,0.913,4.619,CV
30,5.059,1.031,5.216,CV
31,5.059,0.958,4.847,CV
32,5.059,1.011,5.115,CV
33,5.059,0.897,4.538,CV
34,5.059,0.878,4.442,CV
35,5.059,0.826,4.179,CV
36,5.059,1.151,5.823,CV
37,5.059,1.027,5.196,CV
38,5.059,0.964,4.877,CV
39,5.059,0.947,4.791,CV
40,5.059,0.862,4.361,CV
41,5.059,1.005,5.084,CV
42,5.059,1.018,5.150,CV
43,5.059,1.011,5.115,CV
44,5.059,0.823,4.164,CV
45,5.059,0.973,4.922,CV
46,5.059,0.921,4.659,CV
47,5.059,0.867,4.386,CV
48,5.059,1.149,5.813,CV
49,5.059,0.930,4.705,CV
50,5.059,0.946,4.786,CV
51,5.059,0.903,4.568,CV
52,5.059,1.052,5.322,CV
53,5.059,0.954,4.826,CV
54,5.059,1.035,5.236,CV
55,5.059,0.950,4.806,CV
56,5.059,0.927,4.690,CV
57,5.059,0.868,4.391,CV
58,5.059,0.972,4.917,CV
59,5.059,1.070,5.413,CV
60,5.059,0.981,4.963,CV
61,5.059,1.004,5.079,CV
62,5.059,0.894,4.523,CV
63,5.059,0.970,4.907,CV
64,5.059,1.027,5.196,CV
65,5.059,1.123,5.681,CV
66,5.059,0.959,4.852,CV
67,5.059,0.980,4.958,CV
68,5.059,0.903,4.568,CV
69,5.060,1.115,5.642,CV
70,5.059,0.922,4.664,CV
71,5.059,0.996,5.039,CV
72,5.059,1.026,5.191,CV
73,5.059,1.027,5.196,CV
74,5.059,0.977,4.943,CV
75,5.059,0.898,4.543,CV
76,5.059,0.917,4.639,CV
77,5.059,1.020,5.160,CV
78,5.059,1.002,5.069,CV
79,5.059,0.954,4.826,CV
80,5.059,0.978,4.948,CV
81,5.059,1.022,5.170,CV
82,5.059,1.119,5.661,CV
83,5.059,1.185,5.995,CV
84,5.059,0.969,4.902,CV
85,5.059,0.936,4.735,CV
86,5.059,0.950,4.806,CV
87,5.059,1.124,5.686,CV
88,5.059,0.984,4.978,CV
89,5.059,1.143,5.782,CV
90,5.059,0.994,5.029,CV
91,5.059,0.970,4.907,CV
92,5.059,0.970,4.907,CV
93,5.059,1.053,5.327,CV
94,5.059,0.949,4.801,CV
95,5.059,1.061,5.368,CV
96,5.059,1.070,5.413,CV
97,5.059,0.882,4.462,CV
98,5.059,1.158,5.858,CV
99,5.059,1.090,5.514,CV
100,5.059,0.978,4.948,CV
101,5.059,0.964,4.877,CV
102,5.059,1.095,5.540,CV
103,5.059,1.021,5.165,CV
104,5.059,0.968,4.897,CV
105,5.059,1.017,5.145,CV
106,5.059,0.986,4.988,CV
107,5.059,1.087,5.499,CV
108,5.059,0.969,4.902,CV
109,5.059,0.900,4.553,CV
110,5.059,0.978,4.948,CV
111,5.059,1.057,5.347,CV
112,5.059,0.984,4.978,CV
113,5.059,1.024,5.180,CV
114,5.059,0.970,4.907,CV
115,5.059,1.015,5.135,CV
116,5.059,1.091,5.519,CV
117,5.059,1.059,5.357,CV
118,5.059,0.989,5.003,CV
119,5.059,0.864,4.371,CV
120,5.059,1.175,5.944,CV
121,5.059,0.999,5.054,CV
122,5.059,1.051,5.317,CV
123,5.059,1.020,5.160,CV
124,5.059,0.977,4.943,CV
125,5.059,0.931,4.710,CV
126,5.059,0.941,4.761,CV
127,5.059,0.897,4.538,CV
128,5.059,1.136,5.747,CV
129,5.059,1.023,5.175,CV
130,5.059,0.954,4.826,CV
131,5.059,0.983,4.973,CV
132,5.059,1.014,5.130,CV
133,5.059,1.010,5.110,CV
134,5.059,0.913,4.619,CV
135,5.059,0.869,4.396,CV
136,5.059,1.048,5.302,CV
137,5.059,0.987,4.993,CV
138,5.059,0.948,4.796,CV
139,5.059,1.086,5.494,CV
