Serial number:,2045101
Channel:,CH1
Start date:,2024/04/04,Start time:,23:28:53
Sample:,1s
Reading #,Reading
NO.,Voltage,Current,Power,Status
1,5.059,0.578,2.924,CV
2,5.059,0.504,2.550,CV
3,5.059,0.452,2.287,CV
4,5.059,0.426,2.155,CV
5,5.059,0.488,2.469,CV
6,5.059,0.485,2.454,CV
7,5.059,0.486,2.459,CV
8,5.059,0.486,2.459,CV
9,5.059,0.484,2.449,CV
10,5.059,0.562,2.843,CV
11,5.059,0.485,2.454,CV
12,5.059,0.485,2.454,CV
13,5.059,0.487,2.464,CV
14,5.059,0.485,2.454,CV
15,5.059,0.491,2.484,CV
16,5.059,0.470,2.378,CV
17,5.059,0.485,2.454,CV
18,5.059,0.484,2.449,CV
19,5.059,0.484,2.449,CV
20,5.059,0.485,2.454,CV
21,5.059,0.509,2.575,CV
22,5.059,0.473,2.393,CV
23,5.060,0.485,2.454,CV
24,5.059,0.484,2.449,CV
25,5.059,0.536,2.712,CV
26,5.059,0.486,2.459,CV
27,5.059,0.486,2.459,CV
28,5.059,0.453,2.292,CV
29,5.059,0.486,2.459,CV
30,5.059,0.504,2.550,CV
31,5.059,0.487,2.464,CV
32,5.059,0.486,2.459,CV
33,5.059,0.592,2.995,CV
34,5.059,0.591,2.990,CV
35,5.059,0.597,3.020,CV
36,5.059,0.587,2.970,CV
37,5.059,0.687,3.476,CV
38,5.059,0.909,4.599,CV
39,5.059,0.994,5.029,CV
40,5.059,0.952,4.816,CV
41,5.059,1.017,5.145,CV
42,5.059,1.104,5.585,CV
43,5.059,1.070,5.413,CV
44,5.059,1.014,5.130,CV
45,5.059,1.045,5.287,CV
46,5.059,0.995,5.034,CV
47,5.059,0.936,4.735,CV
48,5.059,0.995,5.034,CV
49,5.059,1.008,5.099,CV
50,5.059,0.818,4.138,CV
51,5.059,0.941,4.761,CV
52,5.059,1.022,5.170,CV
53,5.059,1.031,5.216,CV
54,5.059,0.974,4.927,CV
55,5.059,0.986,4.988,CV
56,5.059,0.964,4.877,CV
57,5.059,0.838,4.239,CV
58,5.059,1.022,5.170,CV
59,5.059,0.985,4.983,CV
60,5.059,0.954,4.826,CV
61,5.059,0.880,4.452,CV
62,5.059,0.856,4.331,CV
63,5.059,0.894,4.523,CV
64,5.059,1.008,5.099,CV
65,5.059,0.947,4.791,CV
66,5.059,1.053,5.327,CV
67,5.059,0.990,5.008,CV
68,5.059,1.060,5.363,CV
69,5.059,0.984,4.978,CV
70,5.059,1.001,5.064,CV
71,5.059,0.982,4.968,CV
72,5.059,0.940,4.755,CV
73,5.059,1.043,5.277,CV
74,5.059,0.913,4.619,CV
75,5.059,0.933,4.720,CV
76,5.059,0.998,5.049,CV
77,5.059,1.094,5.535,CV
78,5.059,0.992,5.019,CV
79,5.059,0.814,4.118,CV
80,5.059,0.843,4.265,CV
81,5.059,0.923,4.669,CV
82,5.059,0.963,4.872,CV
83,5.059,1.010,5.110,CV
84,5.059,0.885,4.477,CV
85,5.059,0.948,4.796,CV
86,5.059,0.898,4.543,CV
87,5.059,0.995,5.034,CV
88,5.059,1.030,5.211,CV
89,5.059,0.956,4.836,CV
90,5.059,0.977,4.943,CV
91,5.059,0.935,4.730,CV
92,5.059,0.889,4.497,CV
93,5.059,0.901,4.558,CV
94,5.059,0.981,4.963,CV
95,5.059,0.890,4.503,CV
96,5.059,0.956,4.836,CV
97,5.059,0.840,4.250,CV
98,5.059,0.999,5.054,CV
99,5.059,1.111,5.621,CV
100,5.059,0.955,4.831,CV
101,5.059,1.007,5.094,CV
102,5.059,0.910,4.604,CV
103,5.059,0.915,4.629,CV
104,5.059,1.141,5.772,CV
105,5.059,1.011,5.115,CV
106,5.059,0.955,4.831,CV
107,5.059,1.021,5.165,CV
108,5.059,0.993,5.024,CV
109,5.059,0.944,4.776,CV
110,5.059,1.037,5.246,CV
111,5.059,0.850,4.300,CV
112,5.059,1.009,5.105,CV
113,5.059,1.058,5.352,CV
114,5.059,1.042,5.271,CV
115,5.059,1.132,5.727,CV
116,5.059,1.038,5.251,CV
117,5.059,0.988,4.998,CV
118,5.059,0.834,4.219,CV
119,5.059,1.007,5.094,CV
120,5.059,1.041,5.266,CV
121,5.059,1.023,5.175,CV
122,5.059,0.982,4.968,CV
123,5.059,1.025,5.185,CV
124,5.059,0.967,4.892,CV
125,5.059,0.996,5.039,CV
126,5.059,0.983,4.973,CV
127,5.059,0.896,4.533,CV
128,5.059,0.985,4.983,CV
129,5.059,0.949,4.801,CV
130,5.059,0.871,4.406,CV
131,5.059,1.011,5.115,CV
132,5.059,0.979,4.953,CV
133,5.059,0.934,4.725,CV
134,5.059,0.850,4.300,CV
135,5.059,0.999,5.054,CV
136,5.059,0.855,4.325,CV
137,5.059,1.033,5.226,CV
138,5.059,0.919,4.649,CV
139,5.059,0.892,4.513,CV
140,5.059,1.058,5.352,CV
141,5.059,0.952,4.816,CV
142,5.059,0.977,4.943,CV
143,5.059,0.981,4.963,CV
144,5.059,0.955,4.831,CV
145,5.059,0.895,4.528,CV
146,5.059,1.048,5.302,CV
147,5.059,0.972,4.917,CV
148,5.059,0.996,5.039,CV
149,5.059,1.005,5.084,CV
150,5.059,1.014,5.130,CV
151,5.059,0.992,5.019,CV
152,5.059,1.007,5.094,CV
153,5.059,1.058,5.352,CV
154,5.059,0.905,4.578,CV
155,5.059,0.968,4.897,CV
156,5.059,1.046,5.292,CV
157,5.059,0.991,5.013,CV
158,5.059,0.974,4.927,CV
159,5.059,1.037,5.246,CV
160,5.059,1.087,5.499,CV
161,5.059,0.957,4.841,CV
162,5.059,1.064,5.383,CV
163,5.059,0.891,4.508,CV
164,5.059,0.988,4.998,CV
165,5.059,1.039,5.256,CV
166,5.059,0.971,4.912,CV
167,5.059,0.844,4.270,CV
168,5.059,0.965,4.882,CV
169,5.059,0.975,4.933,CV
170,5.059,0.961,4.862,CV
171,5.059,1.032,5.221,CV
172,5.059,1.054,5.332,CV
173,5.059,0.955,4.831,CV
174,5.059,0.977,4.943,CV
175,5.059,1.050,5.312,CV
176,5.059,0.997,5.044,CV
177,5.059,0.964,4.877,CV
178,5.059,0.960,4.857,CV
179,5.059,0.959,4.852,CV
180,5.059,1.003,5.074,CV
181,5.059,0.964,4.877,CV
182,5.059,1.017,5.145,CV
183,5.059,1.007,5.094,CV
184,5.059,0.986,4.988,CV
185,5.059,1.072,5.423,CV
186,5.059,1.052,5.322,CV
187,5.059,0.909,4.599,CV
188,5.059,1.011,5.115,CV
189,5.059,0.887,4.487,CV
190,5.059,1.046,5.292,CV
191,5.059,1.114,5.636,CV
192,5.059,0.941,4.761,CV
193,5.059,0.945,4.781,CV
194,5.059,1.068,5.403,CV
195,5.059,0.986,4.988,CV
196,5.059,0.976,4.938,CV
197,5.059,0.965,4.882,CV
198,5.059,1.025,5.185,CV
199,5.059,0.969,4.902,CV
200,5.059,1.009,5.105,CV
201,5.059,0.981,4.963,CV
202,5.059,1.021,5.165,CV
203,5.059,1.044,5.282,CV
204,5.059,0.994,5.029,CV
205,5.059,0.878,4.442,CV
206,5.059,1.052,5.322,CV
207,5.059,1.052,5.322,CV
208,5.059,0.900,4.553,CV
209,5.059,0.964,4.877,CV
210,5.059,0.955,4.831,CV
211,5.059,0.987,4.993,CV
212,5.059,0.974,4.927,CV
213,5.059,0.930,4.705,CV
214,5.059,0.942,4.766,CV
215,5.059,0.895,4.528,CV
216,5.059,0.965,4.882,CV
217,5.059,1.081,5.469,CV
218,5.059,0.884,4.472,CV
219,5.059,0.982,4.968,CV
220,5.059,0.960,4.857,CV
221,5.059,0.952,4.816,CV
222,5.059,0.913,4.619,CV
223,5.059,1.063,5.378,CV
224,5.059,0.996,5.039,CV
225,5.059,1.001,5.064,CV
226,5.059,0.903,4.568,CV
227,5.059,1.107,5.600,CV
228,5.059,0.900,4.553,CV
229,5.059,0.904,4.573,CV
230,5.059,1.051,5.317,CV
231,5.059,1.000,5.059,CV
232,5.059,0.937,4.740,CV
233,5.059,0.914,4.624,CV
234,5.059,0.979,4.953,CV
235,5.059,0.965,4.882,CV
236,5.059,0.888,4.492,CV
237,5.059,1.067,5.398,CV
238,5.059,1.075,5.438,CV
239,5.059,0.968,4.897,CV
240,5.059,0.984,4.978,CV
241,5.059,0.968,4.897,CV
242,5.059,0.981,4.963,CV
243,5.059,0.958,4.847,CV
244,5.059,1.063,5.378,CV
245,5.059,1.005,5.084,CV
246,5.059,1.056,5.342,CV
247,5.059,1.050,5.312,CV
248,5.059,1.030,5.211,CV
249,5.059,0.913,4.619,CV
250,5.059,0.947,4.791,CV
251,5.059,1.047,5.297,CV
252,5.059,0.903,4.568,CV
253,5.059,0.979,4.953,CV
254,5.059,1.011,5.115,CV
255,5.059,0.958,4.847,CV
256,5.059,1.094,5.535,CV
257,5.059,0.919,4.649,CV
258,5.059,1.010,5.110,CV
259,5.059,1.083,5.479,CV
260,5.059,0.997,5.044,CV
261,5.059,0.992,5.019,CV
262,5.059,1.008,5.099,CV
263,5.059,0.989,5.003,CV
264,5.059,1.048,5.302,CV
265,5.059,0.944,4.776,CV
266,5.059,0.993,5.024,CV
267,5.059,1.063,5.378,CV
268,5.059,0.956,4.836,CV
269,5.059,0.982,4.968,CV
270,5.059,0.894,4.523,CV
271,5.059,0.944,4.776,CV
272,5.059,1.094,5.535,CV
273,5.059,0.922,4.664,CV
274,5.059,0.938,4.745,CV
275,5.059,0.887,4.487,CV
276,5.059,0.947,4.791,CV
277,5.059,0.960,4.857,CV
278,5.059,0.940,4.755,CV
279,5.059,0.962,4.867,CV
280,5.059,0.962,4.867,CV
281,5.059,0.991,5.013,CV
282,5.059,1.015,5.135,CV
283,5.059,0.978,4.948,CV
284,5.059,1.015,5.135,CV
285,5.059,1.046,5.292,CV
286,5.059,0.937,4.740,CV
287,5.059,0.991,5.013,CV
288,5.059,1.099,5.560,CV
289,5.059,1.000,5.059,CV
290,5.059,0.998,5.049,CV
291,5.059,1.066,5.393,CV
292,5.059,0.941,4.761,CV
293,5.059,0.966,4.887,CV
294,5.059,0.893,4.518,CV
295,5.059,0.970,4.907,CV
296,5.059,0.954,4.826,CV
297,5.059,1.131,5.722,CV
298,5.059,1.040,5.261,CV
299,5.059,0.920,4.654,CV
300,5.059,0.963,4.872,CV
301,5.059,0.926,4.685,CV
302,5.059,0.992,5.019,CV
303,5.059,0.976,4.938,CV
304,5.059,0.947,4.791,CV
305,5.059,1.092,5.524,CV
306,5.059,1.004,5.079,CV
307,5.059,0.979,4.953,CV
308,5.059,0.990,5.008,CV
309,5.059,0.964,4.877,CV
310,5.059,0.920,4.654,CV
311,5.059,0.959,4.852,CV
312,5.059,0.978,4.948,CV
313,5.059,1.004,5.079,CV
314,5.059,0.964,4.877,CV
315,5.059,0.970,4.907,CV
316,5.059,0.964,4.877,CV
317,5.059,0.998,5.049,CV
318,5.059,1.043,5.277,CV
319,5.059,1.051,5.317,CV
320,5.059,0.973,4.922,CV
321,5.059,0.943,4.771,CV
322,5.059,0.968,4.897,CV
323,5.059,0.983,4.973,CV
324,5.059,1.074,5.433,CV
325,5.059,0.979,4.953,CV
326,5.059,0.991,5.013,CV
327,5.059,1.000,5.059,CV
328,5.059,0.961,4.862,CV
329,5.059,1.004,5.079,CV
330,5.059,0.901,4.558,CV
331,5.059,0.990,5.008,CV
332,5.059,1.185,5.995,CV
333,5.059,0.997,5.044,CV
334,5.059,1.056,5.342,CV
335,5.059,0.982,4.968,CV
336,5.059,1.016,5.140,CV
337,5.059,1.171,5.924,CV
338,5.059,0.934,4.725,CV
339,5.059,1.009,5.105,CV
340,5.059,0.977,4.943,CV
341,5.059,1.106,5.595,CV
342,5.059,0.948,4.796,CV
343,5.059,0.929,4.700,CV
344,5.059,1.142,5.777,CV
345,5.059,0.986,4.988,CV
346,5.059,0.953,4.821,CV
347,5.059,1.065,5.388,CV
348,5.059,0.986,4.988,CV
349,5.059,0.951,4.811,CV
350,5.059,0.994,5.029,CV
351,5.059,0.909,4.599,CV
352,5.059,1.039,5.256,CV
353,5.059,0.933,4.720,CV
354,5.059,0.908,4.594,CV
355,5.059,1.017,5.145,CV
356,5.059,0.933,4.720,CV
357,5.059,0.994,5.029,CV
358,5.059,1.064,5.383,CV
359,5.059,0.925,4.680,CV
360,5.059,0.962,4.867,CV
361,5.059,1.002,5.069,CV
362,5.059,1.032,5.221,CV
363,5.059,1.013,5.125,CV
364,5.059,0.973,4.922,CV
365,5.059,1.098,5.555,CV
366,5.059,0.987,4.993,CV
367,5.059,0.903,4.568,CV
368,5.059,0.993,5.024,CV
369,5.059,1.044,5.282,CV
370,5.059,0.942,4.766,CV
371,5.059,1.002,5.069,CV
372,5.059,1.048,5.302,CV
373,5.059,0.911,4.609,CV
374,5.059,0.886,4.482,CV
375,5.059,1.172,5.929,CV
376,5.059,0.997,5.044,CV
377,5.059,1.047,5.297,CV
378,5.059,1.037,5.246,CV
379,5.059,1.141,5.772,CV
380,5.059,1.155,5.843,CV
381,5.059,0.965,4.882,CV
382,5.059,0.956,4.836,CV
383,5.059,1.058,5.352,CV
384,5.059,0.916,4.634,CV
385,5.059,0.962,4.867,CV
386,5.059,1.064,5.383,CV
387,5.059,1.053,5.327,CV
388,5.059,0.977,4.943,CV
389,5.059,1.050,5.312,CV
390,5.059,1.125,5.691,CV
391,5.059,0.928,4.695,CV
392,5.059,0.976,4.938,CV
393,5.059,0.960,4.857,CV
394,5.059,0.990,5.008,CV
395,5.059,0.984,4.978,CV
396,5.059,1.045,5.287,CV
397,5.059,0.929,4.700,CV
398,5.059,0.962,4.867,CV
399,5.059,0.990,5.008,CV
400,5.059,0.967,4.892,CV
401,5.059,0.968,4.897,CV
402,5.059,1.031,5.216,CV
403,5.059,1.106,5.595,CV
404,5.059,0.987,4.993,CV
405,5.059,0.995,5.034,CV
406,5.059,1.066,5.393,CV
407,5.059,1.040,5.261,CV
408,5.059,0.951,4.811,CV
409,5.059,0.892,4.513,CV
410,5.059,1.147,5.803,CV
411,5.059,0.994,5.029,CV
412,5.059,0.938,4.745,CV
413,5.059,1.073,5.428,CV
414,5.059,1.003,5.074,CV
415,5.059,1.009,5.105,CV
416,5.059,1.120,5.666,CV
417,5.059,0.883,4.467,CV
418,5.059,0.962,4.867,CV
419,5.059,0.950,4.806,CV
420,5.059,1.056,5.342,CV
421,5.059,1.028,5.201,CV
422,5.059,0.914,4.624,CV
423,5.059,0.991,5.013,CV
424,5.059,0.928,4.695,CV
425,5.059,1.039,5.256,CV
426,5.059,0.971,4.912,CV
427,5.059,1.020,5.160,CV
428,5.059,0.976,4.938,CV
429,5.059,1.061,5.368,CV
430,5.059,0.988,4.998,CV
431,5.059,1.052,5.322,CV
432,5.059,0.974,4.927,CV
433,5.059,0.932,4.715,CV
434,5.059,1.140,5.767,CV
435,5.059,1.003,5.074,CV
436,5.059,1.043,5.277,CV
437,5.059,1.062,5.373,CV
438,5.059,1.135,5.742,CV
439,5.059,0.971,4.912,CV
440,5.059,1.110,5.615,CV
441,5.059,0.993,5.024,CV
442,5.059,0.959,4.852,CV
443,5.059,1.068,5.403,CV
444,5.059,1.097,5.550,CV
445,5.059,0.930,4.705,CV
446,5.059,0.976,4.938,CV
447,5.059,0.991,5.013,CV
448,5.059,0.989,5.003,CV
449,5.059,1.002,5.069,CV
450,5.059,1.006,5.089,CV
451,5.059,1.016,5.140,CV
452,5.059,1.049,5.307,CV
453,5.059,0.998,5.049,CV
454,5.059,1.050,5.312,CV
455,5.059,0.999,5.054,CV
456,5.059,1.012,5.120,CV
457,5.059,1.069,5.408,CV
458,5.059,0.902,4.563,CV
459,5.059,0.643,3.253,CV
460,5.059,0.490,2.479,CV
461,5.059,0.492,2.489,CV
462,5.059,0.491,2.484,CV
463,5.059,0.474,2.398,CV
464,5.059,0.490,2.479,CV
465,5.059,0.489,2.474,CV
466,5.059,0.494,2.499,CV
467,5.059,0.491,2.484,CV
468,5.059,0.489,2.474,CV
469,5.059,0.549,2.777,CV
470,5.059,0.428,2.165,CV
471,5.059,0.488,2.469,CV
472,5.059,0.549,2.777,CV
473,5.059,0.489,2.474,CV
474,5.059,0.526,2.661,CV
475,5.059,0.493,2.494,CV
476,5.059,0.457,2.312,CV
477,5.059,0.490,2.479,CV
478,5.059,0.488,2.469,CV
479,5.059,0.565,2.858,CV
480,5.059,0.487,2.464,CV
