Serial number:,2045101,,,
Channel:,CH1,,,
Start date:,2024/4/4,Start time:,23:11:18,
Sample:,1s,,,
Reading #,Reading,,,
NO.,Voltage,Current,Power,Status
1,5.059,0.414,2.094,CV
2,5.059,0.413,2.089,CV
3,5.059,0.352,1.781,CV
4,5.059,0.401,2.029,CV
5,5.059,0.41,2.074,CV
6,5.059,0.397,2.008,CV
7,5.059,0.4,2.024,CV
8,5.059,0.405,2.049,CV
9,5.059,0.415,2.099,CV
10,5.059,0.412,2.084,CV
11,5.059,0.416,2.105,CV
12,5.059,0.412,2.084,CV
13,5.059,0.413,2.089,CV
14,5.059,0.35,1.771,CV
15,5.059,0.414,2.094,CV
16,5.059,0.451,2.282,CV
17,5.059,0.414,2.094,CV
18,5.059,0.411,2.079,CV
19,5.059,0.413,2.089,CV
20,5.059,0.383,1.938,CV
21,5.059,0.414,2.094,CV
22,5.059,0.415,2.099,CV
23,5.059,0.487,2.464,CV
24,5.059,0.527,2.666,CV
25,5.059,0.524,2.651,CV
26,5.059,0.737,3.728,CV
27,5.059,0.727,3.678,CV
28,5.059,0.664,3.359,CV
29,5.059,0.717,3.627,CV
30,5.059,0.757,3.83,CV
31,5.059,0.672,3.4,CV
32,5.059,0.75,3.794,CV
33,5.059,0.756,3.825,CV
34,5.059,0.78,3.946,CV
35,5.059,0.693,3.506,CV
36,5.059,0.683,3.455,CV
37,5.059,0.681,3.445,CV
38,5.059,0.625,3.162,CV
39,5.059,0.764,3.865,CV
40,5.059,0.726,3.673,CV
41,5.059,0.759,3.84,CV
42,5.059,0.758,3.835,CV
43,5.059,0.74,3.744,CV
44,5.059,0.607,3.071,CV
45,5.059,0.741,3.749,CV
46,5.059,0.741,3.749,CV
47,5.059,0.65,3.288,CV
48,5.059,0.696,3.521,CV
49,5.059,0.618,3.126,CV
50,5.059,0.708,3.582,CV
51,5.059,0.758,3.835,CV
52,5.059,0.81,4.098,CV
53,5.059,0.728,3.683,CV
54,5.059,0.725,3.668,CV
55,5.059,0.718,3.632,CV
56,5.059,0.769,3.89,CV
57,5.059,0.74,3.744,CV
58,5.059,0.736,3.723,CV
59,5.059,0.617,3.121,CV
60,5.059,0.664,3.359,CV
61,5.059,0.628,3.177,CV
62,5.059,0.77,3.895,CV
63,5.059,0.769,3.89,CV
64,5.059,0.781,3.951,CV
65,5.059,0.641,3.243,CV
66,5.059,0.645,3.263,CV
67,5.059,0.769,3.89,CV
68,5.06,0.645,3.264,CV
69,5.059,0.616,3.116,CV
70,5.059,0.615,3.111,CV
71,5.059,0.71,3.592,CV
72,5.059,0.78,3.946,CV
