Serial number:,2045101
Channel:,CH1
Start date:,2024/04/05,Start time:,00:59:45
Sample:,1s
Reading #,Reading
NO.,Voltage,Current,Power,Status
1,5.059,0.487,2.464,CV
2,5.059,0.426,2.155,CV
3,5.059,0.487,2.464,CV
4,5.059,0.486,2.459,CV
5,5.059,0.486,2.459,CV
6,5.059,0.486,2.459,CV
7,5.059,0.486,2.459,CV
8,5.059,0.425,2.150,CV
9,5.059,0.425,2.150,CV
10,5.059,0.425,2.150,CV
11,5.059,0.425,2.150,CV
12,5.059,0.487,2.464,CV
13,5.059,0.486,2.459,CV
14,5.060,0.553,2.798,CV
15,5.059,0.486,2.459,CV
16,5.059,0.486,2.459,CV
17,5.059,0.425,2.150,CV
18,5.059,0.546,2.762,CV
19,5.059,0.486,2.459,CV
20,5.059,0.486,2.459,CV
21,5.059,0.486,2.459,CV
22,5.059,0.485,2.454,CV
23,5.059,0.592,2.995,CV
24,5.059,0.588,2.975,CV
25,5.059,0.593,3.000,CV
26,5.059,0.592,2.995,CV
27,5.059,0.496,2.509,CV
28,5.059,1.004,5.079,CV
29,5.059,0.969,4.902,CV
30,5.059,0.833,4.214,CV
31,5.059,0.953,4.821,CV
32,5.059,0.883,4.467,CV
33,5.059,0.973,4.922,CV
34,5.059,0.971,4.912,CV
35,5.059,0.955,4.831,CV
36,5.059,0.941,4.761,CV
37,5.059,0.868,4.391,CV
38,5.059,1.042,5.271,CV
39,5.059,0.972,4.917,CV
40,5.059,1.011,5.115,CV
41,5.059,0.982,4.968,CV
42,5.059,0.957,4.841,CV
43,5.059,0.898,4.543,CV
44,5.059,0.831,4.204,CV
45,5.059,1.048,5.302,CV
46,5.059,0.893,4.518,CV
47,5.059,0.945,4.781,CV
48,5.059,0.984,4.978,CV
49,5.059,0.977,4.943,CV
50,5.059,1.033,5.226,CV
51,5.059,0.856,4.331,CV
52,5.059,0.832,4.209,CV
53,5.059,1.017,5.145,CV
54,5.059,0.959,4.852,CV
55,5.059,0.944,4.776,CV
56,5.059,0.935,4.730,CV
57,5.059,0.953,4.821,CV
58,5.059,0.829,4.194,CV
59,5.059,0.943,4.771,CV
60,5.059,0.970,4.907,CV
61,5.059,1.037,5.246,CV
62,5.059,0.951,4.811,CV
63,5.059,0.981,4.963,CV
64,5.059,0.944,4.776,CV
65,5.059,0.990,5.008,CV
66,5.059,1.018,5.150,CV
67,5.059,0.885,4.477,CV
68,5.059,0.904,4.573,CV
69,5.059,0.833,4.214,CV
70,5.059,0.830,4.199,CV
71,5.059,1.036,5.241,CV
72,5.059,0.867,4.386,CV
73,5.059,0.966,4.887,CV
74,5.059,0.988,4.998,CV
75,5.059,1.047,5.297,CV
76,5.059,0.948,4.796,CV
77,5.059,0.972,4.917,CV
78,5.059,0.875,4.427,CV
79,5.059,0.940,4.755,CV
80,5.059,0.972,4.917,CV
81,5.059,1.083,5.479,CV
82,5.059,0.951,4.811,CV
83,5.059,0.988,4.998,CV
84,5.059,1.005,5.084,CV
85,5.059,1.042,5.271,CV
86,5.059,0.990,5.008,CV
87,5.059,1.076,5.443,CV
88,5.059,0.977,4.943,CV
89,5.059,1.013,5.125,CV
90,5.059,0.993,5.024,CV
91,5.059,0.886,4.482,CV
92,5.059,1.143,5.782,CV
93,5.059,1.021,5.165,CV
94,5.059,0.975,4.933,CV
95,5.059,0.999,5.054,CV
96,5.059,0.832,4.209,CV
97,5.059,0.964,4.877,CV
98,5.059,0.987,4.993,CV
99,5.059,1.025,5.185,CV
100,5.059,0.956,4.836,CV
101,5.059,0.992,5.019,CV
102,5.059,1.011,5.115,CV
103,5.059,0.952,4.816,CV
104,5.059,1.030,5.211,CV
105,5.059,0.935,4.730,CV
106,5.059,1.032,5.221,CV
107,5.059,1.001,5.064,CV
108,5.059,1.083,5.479,CV
109,5.059,0.993,5.024,CV
110,5.059,0.980,4.958,CV
111,5.059,1.073,5.428,CV
112,5.059,0.932,4.715,CV
113,5.059,0.974,4.927,CV
114,5.059,0.966,4.887,CV
115,5.059,0.895,4.528,CV
116,5.059,0.937,4.740,CV
117,5.059,1.025,5.185,CV
118,5.059,0.910,4.604,CV
119,5.059,0.970,4.907,CV
120,5.059,1.027,5.196,CV
121,5.059,0.820,4.148,CV
122,5.059,0.929,4.700,CV
123,5.059,0.987,4.993,CV
124,5.059,0.983,4.973,CV
125,5.059,1.017,5.145,CV
126,5.059,0.939,4.750,CV
127,5.059,0.831,4.204,CV
128,5.059,0.977,4.943,CV
129,5.059,0.954,4.826,CV
130,5.059,0.921,4.659,CV
131,5.059,1.097,5.550,CV
132,5.059,0.956,4.836,CV
133,5.059,0.902,4.563,CV
134,5.059,0.836,4.229,CV
135,5.059,1.023,5.175,CV
136,5.059,1.089,5.509,CV
137,5.059,0.944,4.776,CV
138,5.059,1.020,5.160,CV
139,5.059,0.883,4.467,CV
140,5.059,0.927,4.690,CV
141,5.059,0.953,4.821,CV
142,5.059,1.024,5.180,CV
143,5.059,1.056,5.342,CV
144,5.059,0.960,4.857,CV
145,5.059,1.040,5.261,CV
146,5.059,1.028,5.201,CV
147,5.059,0.956,4.836,CV
148,5.059,0.961,4.862,CV
149,5.059,0.963,4.872,CV
150,5.059,1.055,5.337,CV
151,5.059,0.960,4.857,CV
152,5.059,0.972,4.917,CV
153,5.059,0.952,4.816,CV
154,5.059,0.979,4.953,CV
155,5.059,0.903,4.568,CV
156,5.059,0.961,4.862,CV
157,5.059,0.967,4.892,CV
158,5.059,0.992,5.019,CV
159,5.059,0.978,4.948,CV
160,5.059,1.039,5.256,CV
161,5.059,0.983,4.973,CV
162,5.059,1.000,5.059,CV
163,5.059,0.952,4.816,CV
164,5.059,1.032,5.221,CV
165,5.059,0.971,4.912,CV
166,5.059,0.971,4.912,CV
167,5.059,0.989,5.003,CV
168,5.059,0.863,4.366,CV
169,5.059,0.957,4.841,CV
170,5.059,0.952,4.816,CV
171,5.059,0.953,4.821,CV
172,5.059,0.879,4.447,CV
173,5.059,0.977,4.943,CV
174,5.059,0.923,4.669,CV
175,5.059,1.056,5.342,CV
176,5.059,0.950,4.806,CV
177,5.059,0.802,4.057,CV
178,5.059,0.962,4.867,CV
179,5.059,0.929,4.700,CV
180,5.059,1.023,5.175,CV
181,5.059,1.005,5.084,CV
182,5.059,0.819,4.143,CV
183,5.059,0.959,4.852,CV
184,5.059,0.966,4.887,CV
185,5.059,0.988,4.998,CV
186,5.059,0.902,4.563,CV
187,5.059,0.829,4.194,CV
188,5.059,0.835,4.224,CV
189,5.059,1.054,5.332,CV
190,5.059,0.956,4.836,CV
191,5.059,0.969,4.902,CV
192,5.059,0.942,4.766,CV
193,5.059,0.835,4.224,CV
194,5.059,0.838,4.239,CV
195,5.059,1.045,5.287,CV
196,5.059,0.965,4.882,CV
197,5.059,0.950,4.806,CV
198,5.059,0.996,5.039,CV
199,5.059,1.089,5.509,CV
200,5.059,1.017,5.145,CV
201,5.059,1.022,5.170,CV
202,5.059,1.044,5.282,CV
203,5.059,0.869,4.396,CV
204,5.059,0.898,4.543,CV
205,5.059,0.986,4.988,CV
206,5.059,1.036,5.241,CV
207,5.059,0.807,4.083,CV
208,5.059,0.926,4.685,CV
209,5.059,0.989,5.003,CV
210,5.059,0.975,4.933,CV
211,5.059,1.021,5.165,CV
212,5.059,0.919,4.649,CV
213,5.059,0.986,4.988,CV
214,5.059,0.841,4.255,CV
215,5.059,1.048,5.302,CV
216,5.059,1.016,5.140,CV
217,5.059,0.817,4.133,CV
218,5.059,0.951,4.811,CV
219,5.059,0.973,4.922,CV
220,5.059,1.010,5.110,CV
221,5.059,0.982,4.968,CV
222,5.059,0.956,4.836,CV
223,5.059,0.772,3.906,CV
224,5.059,0.489,2.474,CV
225,5.059,0.489,2.474,CV
226,5.059,0.489,2.474,CV
227,5.059,0.458,2.317,CV
228,5.059,0.427,2.160,CV
229,5.059,0.476,2.408,CV
230,5.059,0.511,2.585,CV
231,5.059,0.488,2.469,CV
232,5.059,0.488,2.469,CV
233,5.059,0.488,2.469,CV
234,5.059,0.489,2.474,CV
235,5.059,0.487,2.464,CV
236,5.059,0.426,2.155,CV
237,5.059,0.487,2.464,CV
