Serial number:,2045101
Channel:,CH1
Start date:,2024/04/05,Start time:,01:03:48
Sample:,1s
Reading #,Reading
NO.,Voltage,Current,Power,Status
1,5.059,0.487,2.464,CV
2,5.059,0.487,2.464,CV
3,5.059,0.487,2.464,CV
4,5.059,0.490,2.479,CV
5,5.059,0.425,2.150,CV
6,5.059,0.425,2.150,CV
7,5.059,0.518,2.621,CV
8,5.059,0.490,2.479,CV
9,5.059,0.487,2.464,CV
10,5.059,0.487,2.464,CV
11,5.059,0.577,2.919,CV
12,5.059,0.425,2.150,CV
13,5.059,0.473,2.393,CV
14,5.059,0.543,2.747,CV
15,5.059,0.465,2.352,CV
16,5.059,0.631,3.192,CV
17,5.059,0.600,3.035,CV
18,5.059,0.590,2.985,CV
19,5.059,0.588,2.975,CV
20,5.059,0.586,2.965,CV
21,5.059,0.994,5.029,CV
22,5.059,0.919,4.649,CV
23,5.059,0.848,4.290,CV
24,5.059,1.151,5.823,CV
25,5.059,0.913,4.619,CV
26,5.059,0.971,4.912,CV
27,5.059,0.989,5.003,CV
28,5.059,1.017,5.145,CV
29,5.059,0.985,4.983,CV
30,5.059,1.013,5.125,CV
31,5.059,0.964,4.877,CV
32,5.059,0.983,4.973,CV
33,5.059,1.114,5.636,CV
34,5.059,0.952,4.816,CV
35,5.059,0.976,4.938,CV
36,5.059,1.054,5.332,CV
37,5.059,0.974,4.927,CV
38,5.059,0.913,4.619,CV
39,5.059,0.961,4.862,CV
40,5.059,0.975,4.933,CV
41,5.059,0.963,4.872,CV
42,5.059,1.044,5.282,CV
43,5.059,1.049,5.307,CV
44,5.059,0.981,4.963,CV
45,5.059,1.043,5.277,CV
46,5.059,0.816,4.128,CV
47,5.059,0.988,4.998,CV
48,5.059,0.941,4.761,CV
49,5.059,1.053,5.327,CV
50,5.059,0.959,4.852,CV
51,5.059,0.929,4.700,CV
52,5.059,0.967,4.892,CV
53,5.059,1.026,5.191,CV
54,5.059,1.038,5.251,CV
55,5.059,0.999,5.054,CV
56,5.059,0.981,4.963,CV
57,5.059,0.937,4.740,CV
58,5.059,1.060,5.363,CV
59,5.059,1.044,5.282,CV
60,5.059,0.992,5.019,CV
61,5.059,0.847,4.285,CV
62,5.059,0.991,5.013,CV
63,5.059,1.010,5.110,CV
64,5.059,0.870,4.401,CV
65,5.059,0.840,4.250,CV
66,5.059,0.999,5.054,CV
67,5.059,1.034,5.231,CV
68,5.059,0.846,4.280,CV
69,5.059,0.998,5.049,CV
70,5.059,1.122,5.676,CV
71,5.059,1.104,5.585,CV
72,5.059,1.037,5.246,CV
73,5.059,0.925,4.680,CV
74,5.059,0.890,4.503,CV
75,5.059,0.993,5.024,CV
76,5.059,1.021,5.165,CV
77,5.059,0.943,4.771,CV
78,5.059,0.956,4.836,CV
79,5.059,1.023,5.175,CV
80,5.059,0.998,5.049,CV
81,5.059,0.981,4.963,CV
82,5.059,0.980,4.958,CV
83,5.059,0.991,5.013,CV
84,5.059,1.028,5.201,CV
85,5.059,0.968,4.897,CV
86,5.059,1.046,5.292,CV
87,5.059,0.958,4.847,CV
88,5.059,0.914,4.624,CV
89,5.059,0.901,4.558,CV
90,5.059,0.974,4.927,CV
91,5.059,1.049,5.307,CV
92,5.059,0.957,4.841,CV
93,5.059,1.032,5.221,CV
94,5.059,0.912,4.614,CV
95,5.059,0.969,4.902,CV
96,5.059,1.062,5.373,CV
97,5.059,1.052,5.322,CV
98,5.059,0.936,4.735,CV
99,5.059,0.975,4.933,CV
100,5.059,0.840,4.250,CV
101,5.059,0.999,5.054,CV
102,5.059,0.995,5.034,CV
103,5.059,1.004,5.079,CV
104,5.059,0.998,5.049,CV
105,5.059,0.842,4.260,CV
106,5.059,0.882,4.462,CV
107,5.059,0.990,5.008,CV
108,5.059,1.040,5.261,CV
109,5.059,1.056,5.342,CV
110,5.059,0.942,4.766,CV
111,5.059,0.834,4.219,CV
112,5.059,0.864,4.371,CV
113,5.059,0.979,4.953,CV
114,5.059,1.056,5.342,CV
115,5.059,0.960,4.857,CV
116,5.059,1.006,5.089,CV
117,5.059,0.849,4.295,CV
118,5.059,0.972,4.917,CV
119,5.059,0.933,4.720,CV
120,5.059,1.107,5.600,CV
121,5.059,1.024,5.180,CV
122,5.059,1.055,5.337,CV
123,5.059,0.968,4.897,CV
124,5.059,0.985,4.983,CV
125,5.059,0.953,4.821,CV
126,5.059,0.858,4.341,CV
127,5.059,1.034,5.231,CV
128,5.059,0.834,4.219,CV
129,5.059,0.842,4.260,CV
130,5.059,0.960,4.857,CV
131,5.059,1.081,5.469,CV
132,5.059,1.001,5.064,CV
133,5.059,0.987,4.993,CV
134,5.059,0.868,4.391,CV
135,5.059,0.846,4.280,CV
136,5.059,0.999,5.054,CV
137,5.059,1.026,5.191,CV
138,5.059,0.995,5.034,CV
139,5.059,1.034,5.231,CV
140,5.059,0.963,4.872,CV
141,5.059,0.993,5.024,CV
142,5.059,0.987,4.993,CV
143,5.059,0.839,4.245,CV
144,5.059,1.019,5.155,CV
145,5.059,1.068,5.403,CV
146,5.059,0.967,4.892,CV
147,5.059,1.006,5.089,CV
148,5.059,0.996,5.039,CV
149,5.059,1.003,5.074,CV
150,5.059,0.958,4.847,CV
151,5.059,0.999,5.054,CV
152,5.059,1.029,5.206,CV
153,5.059,0.840,4.250,CV
154,5.059,0.972,4.917,CV
155,5.059,0.962,4.867,CV
156,5.059,1.151,5.823,CV
157,5.059,1.043,5.277,CV
158,5.059,1.021,5.165,CV
159,5.059,0.967,4.892,CV
160,5.059,0.988,4.998,CV
161,5.059,0.954,4.826,CV
162,5.059,0.846,4.280,CV
163,5.059,0.998,5.049,CV
164,5.059,1.054,5.332,CV
165,5.059,0.958,4.847,CV
166,5.059,1.030,5.211,CV
167,5.059,0.870,4.401,CV
168,5.059,0.982,4.968,CV
169,5.059,1.047,5.297,CV
170,5.059,0.960,4.857,CV
171,5.059,1.071,5.418,CV
172,5.059,0.961,4.862,CV
173,5.059,0.881,4.457,CV
174,5.059,0.850,4.300,CV
175,5.059,1.116,5.646,CV
176,5.059,0.977,4.943,CV
177,5.059,1.030,5.211,CV
178,5.059,1.038,5.251,CV
179,5.059,0.862,4.361,CV
180,5.059,0.970,4.907,CV
181,5.059,0.996,5.039,CV
182,5.059,0.844,4.270,CV
183,5.059,0.961,4.862,CV
184,5.059,0.945,4.781,CV
185,5.059,0.941,4.761,CV
186,5.059,0.942,4.766,CV
187,5.059,0.984,4.978,CV
188,5.059,0.945,4.781,CV
189,5.059,1.051,5.317,CV
190,5.059,1.027,5.196,CV
191,5.059,0.812,4.108,CV
192,5.059,0.871,4.406,CV
193,5.059,0.964,4.877,CV
194,5.059,0.950,4.806,CV
195,5.059,0.932,4.715,CV
196,5.059,0.980,4.958,CV
197,5.059,0.946,4.786,CV
198,5.059,1.042,5.271,CV
199,5.059,0.976,4.938,CV
200,5.059,0.946,4.786,CV
201,5.059,0.884,4.472,CV
202,5.059,0.913,4.619,CV
203,5.059,1.050,5.312,CV
204,5.059,1.018,5.150,CV
205,5.059,0.962,4.867,CV
206,5.059,0.962,4.867,CV
207,5.059,0.963,4.872,CV
208,5.059,0.935,4.730,CV
209,5.059,0.997,5.044,CV
210,5.059,0.952,4.816,CV
211,5.059,0.967,4.892,CV
212,5.059,0.878,4.442,CV
213,5.059,0.954,4.826,CV
214,5.059,1.035,5.236,CV
215,5.059,0.951,4.811,CV
216,5.059,0.882,4.462,CV
217,5.059,1.033,5.226,CV
218,5.059,1.107,5.600,CV
219,5.059,0.958,4.847,CV
220,5.059,0.711,3.597,CV
221,5.059,0.490,2.479,CV
222,5.059,0.490,2.479,CV
223,5.059,0.489,2.474,CV
224,5.059,0.489,2.474,CV
225,5.059,0.527,2.666,CV
226,5.059,0.472,2.388,CV
227,5.059,0.428,2.165,CV
228,5.059,0.488,2.469,CV
229,5.059,0.489,2.474,CV
230,5.059,0.488,2.469,CV
231,5.059,0.488,2.469,CV
232,5.059,0.488,2.469,CV
233,5.059,0.525,2.656,CV
