Serial number:,2045101
Channel:,CH1
Start date:,2024/04/05,Start time:,01:16:31
Sample:,1s
Reading #,Reading
NO.,Voltage,Current,Power,Status
1,5.059,0.718,3.632,CV
2,5.059,0.632,3.197,CV
3,5.059,0.681,3.445,CV
4,5.059,0.614,3.106,CV
5,5.060,0.619,3.132,CV
6,5.060,0.656,3.319,CV
7,5.060,0.607,3.071,CV
8,5.059,0.620,3.137,CV
9,5.059,0.607,3.071,CV
10,5.059,0.631,3.192,CV
11,5.060,0.631,3.193,CV
12,5.060,0.632,3.198,CV
13,5.060,0.632,3.198,CV
14,5.060,0.631,3.193,CV
15,5.059,0.621,3.142,CV
16,5.060,0.746,3.775,CV
17,5.059,0.734,3.713,CV
18,5.059,0.739,3.739,CV
19,5.060,0.743,3.760,CV
20,5.060,0.732,3.704,CV
21,5.059,0.730,3.693,CV
22,5.059,0.730,3.693,CV
23,5.059,0.632,3.197,CV
24,5.059,0.953,4.821,CV
25,5.059,0.930,4.705,CV
26,5.059,0.920,4.654,CV
27,5.059,1.066,5.393,CV
28,5.059,0.948,4.796,CV
29,5.059,0.919,4.649,CV
30,5.059,0.918,4.644,CV
31,5.059,0.919,4.649,CV
32,5.059,0.922,4.664,CV
33,5.060,1.420,7.185,CV
34,5.059,1.208,6.111,CV
35,5.059,1.179,5.965,CV
36,5.060,1.324,6.699,CV
37,5.059,1.475,7.462,CV
38,5.060,1.304,6.598,CV
39,5.059,1.359,6.875,CV
40,5.059,1.333,6.744,CV
41,5.059,1.479,7.482,CV
42,5.060,1.439,7.281,CV
43,5.060,1.324,6.699,CV
44,5.060,1.488,7.529,CV
45,5.059,1.403,7.098,CV
46,5.059,1.448,7.325,CV
47,5.059,1.261,6.379,CV
48,5.059,1.270,6.425,CV
49,5.060,1.143,5.784,CV
50,5.060,0.881,4.458,CV
51,5.060,0.637,3.223,CV
52,5.059,0.655,3.314,CV
53,5.059,0.637,3.223,CV
54,5.059,0.636,3.218,CV
55,5.060,0.635,3.213,CV
56,5.059,0.635,3.212,CV
57,5.059,0.635,3.212,CV
58,5.060,0.638,3.228,CV
59,5.059,0.635,3.212,CV
60,5.059,0.635,3.212,CV
61,5.059,0.636,3.218,CV
62,5.059,0.635,3.212,CV
63,5.059,0.634,3.207,CV
64,5.059,0.573,2.899,CV
65,5.060,0.635,3.213,CV
66,5.060,0.637,3.223,CV
67,5.060,0.634,3.208,CV
68,5.060,0.651,3.294,CV
69,5.060,0.633,3.203,CV
70,5.059,0.609,3.081,CV
71,5.059,0.572,2.894,CV
