Serial number:,2045101
Channel:,CH1
Start date:,2024/04/05,Start time:,01:14:08
Sample:,1s
Reading #,Reading
NO.,Voltage,Current,Power,Status
1,5.059,0.632,3.197,CV
2,5.060,0.665,3.365,CV
3,5.059,0.632,3.197,CV
4,5.059,0.640,3.238,CV
5,5.059,0.631,3.192,CV
6,5.059,0.638,3.228,CV
7,5.060,0.631,3.193,CV
8,5.060,0.631,3.193,CV
9,5.060,0.624,3.157,CV
10,5.060,0.584,2.955,CV
11,5.059,0.569,2.879,CV
12,5.059,0.621,3.142,CV
13,5.059,0.632,3.197,CV
14,5.059,0.577,2.919,CV
15,5.059,0.615,3.111,CV
16,5.059,0.672,3.400,CV
17,5.059,0.631,3.192,CV
18,5.059,0.630,3.187,CV
19,5.059,0.736,3.723,CV
20,5.059,0.740,3.744,CV
21,5.059,0.727,3.678,CV
22,5.059,0.730,3.693,CV
23,5.060,0.758,3.835,CV
24,5.059,0.735,3.718,CV
25,5.059,0.883,4.467,CV
26,5.059,0.930,4.705,CV
27,5.059,0.994,5.029,CV
28,5.059,0.984,4.978,CV
29,5.059,0.980,4.958,CV
30,5.059,0.917,4.639,CV
31,5.060,0.916,4.635,CV
32,5.059,0.982,4.968,CV
33,5.060,0.924,4.675,CV
34,5.059,1.013,5.125,CV
35,5.060,1.324,6.699,CV
36,5.059,1.324,6.698,CV
37,5.059,1.239,6.268,CV
38,5.059,1.350,6.830,CV
39,5.060,1.274,6.446,CV
40,5.059,1.381,6.986,CV
41,5.060,1.240,6.274,CV
42,5.059,1.334,6.749,CV
43,5.059,1.470,7.437,CV
44,5.059,1.309,6.622,CV
45,5.059,1.279,6.470,CV
46,5.059,1.321,6.683,CV
47,5.059,1.358,6.870,CV
48,5.059,1.538,7.781,CV
49,5.059,1.571,7.948,CV
50,5.059,1.306,6.607,CV
51,5.059,1.441,7.290,CV
52,5.059,1.521,7.695,CV
53,5.060,1.292,6.538,CV
54,5.060,1.387,7.018,CV
55,5.059,1.415,7.158,CV
56,5.059,1.265,6.400,CV
57,5.059,0.742,3.754,CV
58,5.059,0.636,3.218,CV
59,5.059,0.690,3.491,CV
60,5.059,0.636,3.218,CV
61,5.059,0.643,3.253,CV
62,5.059,0.664,3.359,CV
63,5.059,0.636,3.218,CV
64,5.059,0.636,3.218,CV
65,5.059,0.636,3.218,CV
66,5.060,0.635,3.213,CV
67,5.060,0.635,3.213,CV
68,5.059,0.573,2.899,CV
69,5.059,0.638,3.228,CV
70,5.059,0.634,3.207,CV
71,5.060,0.634,3.208,CV
72,5.060,0.644,3.259,CV
