Serial number:,2045101
Channel:,CH1
Start date:,2024/04/04,Start time:,21:12:34
Sample:,1s
Reading #,Reading
NO.,Voltage,Current,Power,Status
1,5.060,0.506,2.560,CV
2,5.060,0.506,2.560,CV
3,5.059,0.506,2.560,CV
4,5.060,0.506,2.560,CV
5,5.060,0.506,2.560,CV
6,5.060,0.506,2.560,CV
7,5.060,0.506,2.560,CV
8,5.060,0.506,2.560,CV
9,5.060,0.505,2.555,CV
10,5.059,0.506,2.560,CV
11,5.060,0.505,2.555,CV
12,5.059,0.505,2.555,CV
13,5.060,0.505,2.555,CV
14,5.060,0.505,2.555,CV
15,5.060,0.506,2.560,CV
16,5.060,0.506,2.560,CV
17,5.060,0.720,3.643,CV
18,5.059,0.668,3.379,CV
19,5.060,0.668,3.380,CV
20,5.060,0.787,3.982,CV
21,5.060,0.686,3.471,CV
22,5.060,0.786,3.977,CV
23,5.060,0.786,3.977,CV
24,5.060,0.786,3.977,CV
25,5.059,0.786,3.976,CV
26,5.060,0.771,3.901,CV
27,5.060,0.761,3.851,CV
28,5.059,0.768,3.885,CV
29,5.060,0.765,3.871,CV
30,5.060,0.764,3.866,CV
31,5.059,0.765,3.870,CV
32,5.060,0.767,3.881,CV
33,5.059,0.768,3.885,CV
34,5.060,0.765,3.871,CV
35,5.060,0.768,3.886,CV
36,5.060,0.768,3.886,CV
37,5.059,0.767,3.880,CV
38,5.060,0.767,3.881,CV
39,5.060,0.767,3.881,CV
40,5.059,0.768,3.885,CV
41,5.060,0.765,3.871,CV
42,5.060,0.802,4.058,CV
43,5.060,0.765,3.871,CV
44,5.060,0.767,3.881,CV
45,5.060,0.771,3.901,CV
46,5.060,0.764,3.866,CV
47,5.060,0.768,3.886,CV
48,5.060,0.769,3.891,CV
49,5.060,0.773,3.911,CV
50,5.060,0.763,3.861,CV
51,5.059,0.767,3.880,CV
52,5.060,0.768,3.886,CV
53,5.060,0.763,3.861,CV
54,5.060,0.769,3.891,CV
55,5.060,0.767,3.881,CV
56,5.060,0.770,3.896,CV
57,5.060,0.765,3.871,CV
58,5.060,0.763,3.861,CV
59,5.060,0.770,3.896,CV
60,5.060,0.770,3.896,CV
61,5.060,0.804,4.068,CV
62,5.060,0.762,3.856,CV
63,5.060,0.768,3.886,CV
64,5.060,0.767,3.881,CV
65,5.060,0.764,3.866,CV
66,5.060,0.762,3.856,CV
67,5.060,0.763,3.861,CV
68,5.060,0.767,3.881,CV
69,5.060,0.768,3.886,CV
70,5.060,0.767,3.881,CV
71,5.060,0.770,3.896,CV
72,5.060,0.771,3.901,CV
73,5.060,0.765,3.871,CV
74,5.059,0.769,3.890,CV
75,5.060,0.770,3.896,CV
76,5.060,0.765,3.871,CV
77,5.060,0.771,3.901,CV
78,5.059,0.772,3.906,CV
79,5.060,0.771,3.901,CV
80,5.060,0.770,3.896,CV
81,5.060,0.769,3.891,CV
82,5.060,0.763,3.861,CV
83,5.060,0.769,3.891,CV
84,5.060,0.766,3.876,CV
85,5.060,0.770,3.896,CV
86,5.060,0.804,4.068,CV
87,5.059,0.769,3.890,CV
88,5.060,0.772,3.906,CV
89,5.060,0.763,3.861,CV
90,5.060,0.772,3.906,CV
91,5.060,0.765,3.871,CV
92,5.060,0.764,3.866,CV
93,5.060,0.771,3.901,CV
94,5.060,0.767,3.881,CV
95,5.060,0.765,3.871,CV
96,5.060,0.769,3.891,CV
97,5.060,0.769,3.891,CV
98,5.060,0.765,3.871,CV
99,5.059,0.768,3.885,CV
100,5.060,0.679,3.436,CV
101,5.060,0.575,2.909,CV
102,5.060,0.574,2.904,CV
103,5.060,0.574,2.904,CV
104,5.060,0.574,2.904,CV
105,5.060,0.562,2.844,CV
106,5.060,0.511,2.586,CV
107,5.060,0.510,2.581,CV
108,5.060,0.510,2.581,CV
109,5.060,0.510,2.581,CV
110,5.060,0.510,2.581,CV
111,5.060,0.530,2.682,CV
112,5.060,0.510,2.581,CV
113,5.060,0.510,2.581,CV
114,5.060,0.509,2.576,CV
115,5.060,0.509,2.576,CV
116,5.060,0.509,2.576,CV
117,5.060,0.509,2.576,CV
118,5.060,0.509,2.576,CV
119,5.060,0.509,2.576,CV
120,5.060,0.509,2.576,CV
121,5.060,0.509,2.576,CV
122,5.060,0.521,2.636,CV
123,5.060,0.509,2.576,CV
124,5.060,0.509,2.576,CV
125,5.060,0.509,2.576,CV
126,5.060,0.509,2.576,CV
