Serial number:,2045101
Channel:,CH1
Start date:,2024/04/04,Start time:,21:00:51
Sample:,1s
Reading #,Reading
NO.,Voltage,Current,Power,Status
1,5.060,0.508,2.570,CV
2,5.060,0.508,2.570,CV
3,5.060,0.507,2.565,CV
4,5.060,0.507,2.565,CV
5,5.060,0.507,2.565,CV
6,5.060,0.507,2.565,CV
7,5.060,0.511,2.586,CV
8,5.060,0.518,2.621,CV
9,5.060,0.519,2.626,CV
10,5.060,0.507,2.565,CV
11,5.060,0.575,2.909,CV
12,5.060,0.571,2.889,CV
13,5.059,0.571,2.889,CV
14,5.060,0.678,3.431,CV
15,5.060,0.684,3.461,CV
16,5.060,0.676,3.421,CV
17,5.060,0.672,3.400,CV
18,5.060,0.786,3.977,CV
19,5.060,0.756,3.825,CV
20,5.060,0.786,3.977,CV
21,5.060,0.786,3.977,CV
22,5.060,0.794,4.018,CV
23,5.060,0.765,3.871,CV
24,5.060,0.767,3.881,CV
25,5.060,0.763,3.861,CV
26,5.060,0.760,3.846,CV
27,5.060,0.762,3.856,CV
28,5.060,0.764,3.866,CV
29,5.060,0.763,3.861,CV
30,5.060,0.762,3.856,CV
31,5.060,0.759,3.841,CV
32,5.059,0.764,3.865,CV
33,5.059,0.767,3.880,CV
34,5.060,0.761,3.851,CV
35,5.060,0.771,3.901,CV
36,5.060,0.761,3.851,CV
37,5.060,0.763,3.861,CV
38,5.060,0.760,3.846,CV
39,5.060,0.766,3.876,CV
40,5.060,0.764,3.866,CV
41,5.060,0.785,3.972,CV
42,5.059,0.770,3.895,CV
43,5.060,0.775,3.921,CV
44,5.060,0.779,3.942,CV
45,5.060,0.767,3.881,CV
46,5.060,0.763,3.861,CV
47,5.060,0.764,3.866,CV
48,5.060,0.766,3.876,CV
49,5.060,0.765,3.871,CV
50,5.059,0.759,3.840,CV
51,5.060,0.763,3.861,CV
52,5.060,0.762,3.856,CV
53,5.060,0.764,3.866,CV
54,5.060,0.763,3.861,CV
55,5.060,0.761,3.851,CV
56,5.060,0.764,3.866,CV
57,5.060,0.765,3.871,CV
58,5.060,0.767,3.881,CV
59,5.060,0.760,3.846,CV
60,5.060,0.765,3.871,CV
61,5.060,0.763,3.861,CV
62,5.060,0.760,3.846,CV
63,5.060,0.767,3.881,CV
64,5.060,0.766,3.876,CV
65,5.060,0.761,3.851,CV
66,5.060,0.765,3.871,CV
67,5.060,0.767,3.881,CV
68,5.060,0.761,3.851,CV
69,5.060,0.763,3.861,CV
70,5.060,0.760,3.846,CV
71,5.060,0.789,3.992,CV
72,5.060,0.763,3.861,CV
73,5.060,0.761,3.851,CV
74,5.060,0.764,3.866,CV
75,5.060,0.760,3.846,CV
76,5.060,0.765,3.871,CV
77,5.059,0.762,3.855,CV
78,5.059,0.764,3.865,CV
79,5.060,0.760,3.846,CV
80,5.060,0.768,3.886,CV
81,5.060,0.763,3.861,CV
82,5.060,0.763,3.861,CV
83,5.060,0.762,3.856,CV
84,5.060,0.766,3.876,CV
85,5.059,0.765,3.870,CV
86,5.060,0.765,3.871,CV
87,5.060,0.763,3.861,CV
88,5.059,0.763,3.860,CV
89,5.060,0.765,3.871,CV
90,5.060,0.761,3.851,CV
91,5.060,0.806,4.078,CV
92,5.060,0.762,3.856,CV
93,5.060,0.767,3.881,CV
94,5.060,0.765,3.871,CV
95,5.060,0.763,3.861,CV
96,5.059,0.761,3.850,CV
97,5.060,0.768,3.886,CV
98,5.060,0.726,3.674,CV
99,5.060,0.572,2.894,CV
100,5.060,0.572,2.894,CV
101,5.059,0.571,2.889,CV
102,5.060,0.571,2.889,CV
103,5.060,0.508,2.570,CV
104,5.060,0.508,2.570,CV
105,5.060,0.508,2.570,CV
106,5.060,0.508,2.570,CV
107,5.060,0.508,2.570,CV
108,5.060,0.508,2.570,CV
109,5.060,0.515,2.606,CV
110,5.060,0.507,2.565,CV
111,5.059,0.507,2.565,CV
112,5.060,0.507,2.565,CV
113,5.060,0.508,2.570,CV
114,5.060,0.508,2.570,CV
115,5.060,0.507,2.565,CV
116,5.059,0.508,2.570,CV
117,5.060,0.507,2.565,CV
118,5.060,0.507,2.565,CV
119,5.059,0.542,2.742,CV
120,5.060,0.507,2.565,CV
121,5.060,0.507,2.565,CV
122,5.060,0.508,2.570,CV
123,5.060,0.507,2.565,CV
124,5.060,0.534,2.702,CV
125,5.060,0.520,2.631,CV
