Serial number:,2045101
Channel:,CH1
Start date:,2024/04/05,Start time:,01:21:25
Sample:,1s
Reading #,Reading
NO.,Voltage,Current,Power,Status
1,5.059,0.636,3.218,CV
2,5.059,0.635,3.212,CV
3,5.059,0.636,3.218,CV
4,5.059,0.669,3.384,CV
5,5.059,0.636,3.218,CV
6,5.059,0.574,2.904,CV
7,5.060,0.649,3.284,CV
8,5.059,0.635,3.212,CV
9,5.059,0.636,3.218,CV
10,5.059,0.635,3.212,CV
11,5.059,0.708,3.582,CV
12,5.060,0.573,2.899,CV
13,5.060,0.635,3.213,CV
14,5.060,0.686,3.471,CV
15,5.059,0.635,3.212,CV
16,5.059,0.634,3.207,CV
17,5.059,0.635,3.212,CV
18,5.059,0.738,3.734,CV
19,5.059,0.740,3.744,CV
20,5.059,0.821,4.153,CV
21,5.059,0.804,4.067,CV
22,5.059,0.734,3.713,CV
23,5.059,0.734,3.713,CV
24,5.059,0.899,4.548,CV
25,5.059,0.994,5.029,CV
26,5.059,0.997,5.044,CV
27,5.059,0.925,4.680,CV
28,5.060,0.929,4.701,CV
29,5.059,0.922,4.664,CV
30,5.060,0.990,5.009,CV
31,5.059,0.925,4.680,CV
32,5.059,1.003,5.074,CV
33,5.059,0.974,4.927,CV
34,5.060,1.424,7.205,CV
35,5.059,1.318,6.668,CV
36,5.059,1.281,6.481,CV
37,5.059,1.307,6.612,CV
38,5.059,1.285,6.501,CV
39,5.059,1.283,6.491,CV
40,5.059,1.244,6.293,CV
41,5.059,1.518,7.680,CV
42,5.059,1.464,7.406,CV
43,5.059,1.279,6.470,CV
44,5.059,1.457,7.371,CV
45,5.059,1.363,6.895,CV
46,5.059,1.331,6.734,CV
47,5.059,1.400,7.083,CV
48,5.060,1.346,6.811,CV
49,5.060,1.343,6.796,CV
50,5.059,1.484,7.508,CV
51,5.059,1.332,6.739,CV
52,5.059,1.278,6.465,CV
53,5.060,1.312,6.639,CV
54,5.059,1.296,6.556,CV
55,5.059,1.551,7.847,CV
56,5.059,1.356,6.860,CV
57,5.059,1.430,7.234,CV
58,5.060,1.588,8.035,CV
59,5.059,1.478,7.477,CV
60,5.060,1.511,7.646,CV
61,5.059,1.410,7.133,CV
62,5.059,1.451,7.341,CV
63,5.059,1.290,6.526,CV
64,5.059,1.482,7.497,CV
65,5.059,1.406,7.113,CV
66,5.059,1.495,7.563,CV
67,5.060,1.360,6.882,CV
68,5.059,1.337,6.764,CV
69,5.059,1.290,6.526,CV
70,5.059,1.416,7.164,CV
71,5.059,1.503,7.604,CV
72,5.059,1.369,6.926,CV
73,5.059,1.301,6.582,CV
74,5.059,1.313,6.642,CV
75,5.059,1.269,6.420,CV
76,5.059,0.788,3.986,CV
77,5.059,0.642,3.248,CV
78,5.059,0.641,3.243,CV
79,5.059,0.659,3.334,CV
80,5.059,0.641,3.243,CV
81,5.059,0.727,3.678,CV
82,5.059,0.640,3.238,CV
83,5.059,0.640,3.238,CV
84,5.059,0.664,3.359,CV
85,5.059,0.639,3.233,CV
86,5.059,0.639,3.233,CV
87,5.059,0.639,3.233,CV
88,5.060,0.639,3.233,CV
89,5.059,0.639,3.233,CV
90,5.059,0.634,3.207,CV
91,5.059,0.634,3.207,CV
