Serial number:,2045101
Channel:,CH1
Start date:,2024/04/05,Start time:,01:28:27
Sample:,1s
Reading #,Reading
NO.,Voltage,Current,Power,Status
1,5.059,0.640,3.238,CV
2,5.059,0.639,3.233,CV
3,5.059,0.640,3.238,CV
4,5.059,0.577,2.919,CV
5,5.059,0.640,3.238,CV
6,5.059,0.640,3.238,CV
7,5.059,0.639,3.233,CV
8,5.059,0.672,3.400,CV
9,5.060,0.639,3.233,CV
10,5.059,0.577,2.919,CV
11,5.059,0.639,3.233,CV
12,5.059,0.638,3.228,CV
13,5.059,0.638,3.228,CV
14,5.060,0.639,3.233,CV
15,5.059,0.645,3.263,CV
16,5.059,0.576,2.914,CV
17,5.059,0.576,2.914,CV
18,5.060,0.685,3.466,CV
19,5.059,0.576,2.914,CV
20,5.059,0.741,3.749,CV
21,5.059,0.768,3.885,CV
22,5.059,0.745,3.769,CV
23,5.059,0.903,4.568,CV
24,5.059,0.741,3.749,CV
25,5.059,0.814,4.118,CV
26,5.059,0.741,3.749,CV
27,5.059,0.995,5.034,CV
28,5.059,0.837,4.234,CV
29,5.059,0.999,5.054,CV
30,5.059,0.995,5.034,CV
31,5.059,0.928,4.695,CV
32,5.060,0.990,5.009,CV
33,5.060,0.994,5.030,CV
34,5.060,0.928,4.696,CV
35,5.059,0.991,5.013,CV
36,5.059,1.198,6.061,CV
37,5.059,1.313,6.642,CV
38,5.059,1.179,5.965,CV
39,5.059,1.418,7.174,CV
40,5.059,1.350,6.830,CV
41,5.060,1.514,7.661,CV
42,5.059,1.454,7.356,CV
43,5.059,1.343,6.794,CV
44,5.059,1.403,7.098,CV
45,5.059,1.514,7.659,CV
46,5.059,1.299,6.572,CV
47,5.060,1.339,6.775,CV
48,5.059,1.386,7.012,CV
49,5.059,1.352,6.840,CV
50,5.059,1.405,7.108,CV
51,5.059,1.234,6.243,CV
52,5.059,1.233,6.238,CV
53,5.059,1.386,7.012,CV
54,5.059,1.240,6.273,CV
55,5.059,1.232,6.233,CV
56,5.059,1.375,6.956,CV
57,5.059,1.421,7.189,CV
58,5.059,1.269,6.420,CV
59,5.059,1.251,6.329,CV
60,5.059,1.438,7.275,CV
61,5.060,1.429,7.231,CV
62,5.059,1.189,6.015,CV
63,5.059,1.429,7.229,CV
64,5.060,1.359,6.877,CV
65,5.059,1.433,7.250,CV
66,5.059,1.596,8.074,CV
67,5.059,1.406,7.113,CV
68,5.060,1.272,6.436,CV
69,5.059,1.218,6.162,CV
70,5.059,1.258,6.364,CV
71,5.059,1.359,6.875,CV
72,5.060,1.366,6.912,CV
73,5.059,1.364,6.900,CV
74,5.059,1.377,6.966,CV
75,5.059,1.406,7.113,CV
76,5.059,1.353,6.845,CV
77,5.060,1.319,6.674,CV
78,5.060,1.345,6.806,CV
79,5.060,1.357,6.866,CV
80,5.059,1.491,7.543,CV
81,5.060,1.537,7.777,CV
82,5.059,1.337,6.764,CV
83,5.059,1.499,7.583,CV
84,5.059,1.473,7.452,CV
85,5.059,1.448,7.325,CV
86,5.059,1.287,6.511,CV
87,5.060,1.367,6.917,CV
88,5.059,1.585,8.019,CV
89,5.059,1.542,7.801,CV
90,5.059,1.446,7.315,CV
91,5.059,1.255,6.349,CV
92,5.060,1.513,7.656,CV
93,5.059,1.341,6.784,CV
94,5.059,1.441,7.290,CV
95,5.059,1.484,7.508,CV
96,5.059,1.554,7.862,CV
97,5.059,1.392,7.042,CV
98,5.059,1.488,7.528,CV
99,5.059,1.342,6.789,CV
100,5.059,1.444,7.305,CV
101,5.059,1.448,7.325,CV
102,5.059,1.365,6.906,CV
103,5.059,1.475,7.462,CV
104,5.059,1.538,7.781,CV
105,5.059,1.485,7.513,CV
106,5.059,1.445,7.310,CV
107,5.059,1.526,7.720,CV
108,5.059,1.471,7.442,CV
109,5.059,1.244,6.293,CV
110,5.059,1.522,7.700,CV
111,5.059,1.446,7.315,CV
112,5.059,1.358,6.870,CV
113,5.059,1.385,7.007,CV
114,5.059,1.422,7.194,CV
115,5.059,1.485,7.513,CV
116,5.059,1.257,6.359,CV
117,5.059,1.377,6.966,CV
118,5.059,1.393,7.047,CV
119,5.059,1.536,7.771,CV
120,5.059,1.436,7.265,CV
121,5.059,1.372,6.941,CV
122,5.059,1.312,6.637,CV
123,5.059,1.410,7.133,CV
124,5.059,1.584,8.013,CV
125,5.059,1.427,7.219,CV
126,5.059,1.440,7.285,CV
127,5.059,1.331,6.734,CV
128,5.059,1.462,7.396,CV
129,5.059,1.427,7.219,CV
130,5.059,1.493,7.553,CV
131,5.059,1.290,6.526,CV
132,5.059,0.744,3.764,CV
133,5.059,0.691,3.496,CV
134,5.059,0.646,3.268,CV
135,5.059,0.634,3.207,CV
136,5.059,0.634,3.207,CV
137,5.059,0.584,2.954,CV
138,5.059,0.594,3.005,CV
139,5.060,0.621,3.142,CV
140,5.059,0.583,2.949,CV
141,5.059,0.741,3.749,CV
142,5.059,0.643,3.253,CV
143,5.059,0.643,3.253,CV
144,5.059,0.650,3.288,CV
145,5.059,0.643,3.253,CV
146,5.059,0.581,2.939,CV
147,5.059,0.641,3.243,CV
148,5.059,0.642,3.248,CV
