Serial number:,2045101,,,
Channel:,CH1,,,
Start date:,2024/4/4,Start time:,22:08:39,
Sample:,1s,,,
Reading #,Reading,,,
NO.,Voltage,Current,Power,Status
160,5.06,0.777,3.932,CV
161,5.06,0.679,3.436,CV
162,5.06,0.684,3.461,CV
163,5.06,0.645,3.264,CV
164,5.06,0.765,3.871,CV
165,5.059,0.723,3.658,CV
166,5.06,0.766,3.876,CV
167,5.06,0.778,3.937,CV
168,5.06,0.722,3.653,CV
169,5.06,0.709,3.588,CV
170,5.06,0.769,3.891,CV
171,5.06,0.78,3.947,CV
172,5.06,0.766,3.876,CV
173,5.06,0.709,3.588,CV
174,5.06,0.801,4.053,CV
175,5.06,0.716,3.623,CV
176,5.059,0.769,3.89,CV
177,5.059,0.755,3.82,CV
178,5.06,0.662,3.35,CV
179,5.059,0.774,3.916,CV
180,5.059,0.658,3.329,CV
181,5.06,0.712,3.603,CV
182,5.06,0.702,3.552,CV
183,5.06,0.685,3.466,CV
184,5.06,0.708,3.582,CV
185,5.06,0.681,3.446,CV
186,5.06,0.727,3.679,CV
187,5.06,0.675,3.415,CV
188,5.059,0.799,4.042,CV
189,5.06,0.664,3.36,CV
190,5.06,0.687,3.476,CV
191,5.06,0.636,3.218,CV
192,5.06,0.838,4.24,CV
193,5.06,0.729,3.689,CV
194,5.06,0.665,3.365,CV
195,5.059,0.795,4.022,CV
196,5.06,0.784,3.967,CV
197,5.06,0.746,3.775,CV
198,5.06,0.738,3.734,CV
199,5.06,0.755,3.82,CV
200,5.06,0.753,3.81,CV
201,5.06,0.784,3.967,CV
202,5.06,0.772,3.906,CV
203,5.06,0.715,3.618,CV
204,5.06,0.766,3.876,CV
205,5.06,0.761,3.851,CV
206,5.06,0.658,3.329,CV
207,5.06,0.789,3.992,CV
208,5.06,0.752,3.805,CV
209,5.06,0.767,3.881,CV
210,5.06,0.713,3.608,CV
211,5.06,0.755,3.82,CV
212,5.06,0.775,3.921,CV
213,5.06,0.668,3.38,CV
214,5.06,0.708,3.582,CV
215,5.06,0.789,3.992,CV
216,5.06,0.729,3.689,CV
217,5.06,0.795,4.023,CV
218,5.06,0.794,4.018,CV
219,5.059,0.704,3.562,CV
220,5.06,0.788,3.987,CV
221,5.06,0.699,3.537,CV
222,5.06,0.626,3.168,CV
223,5.059,0.786,3.976,CV
224,5.06,0.77,3.896,CV
225,5.06,0.681,3.446,CV
226,5.06,0.787,3.982,CV
227,5.06,0.772,3.906,CV
228,5.06,0.784,3.967,CV
229,5.06,0.795,4.023,CV
230,5.06,0.774,3.916,CV
231,5.059,0.762,3.855,CV
232,5.06,0.637,3.223,CV
233,5.06,0.716,3.623,CV
234,5.06,0.798,4.038,CV
235,5.059,0.718,3.632,CV
236,5.06,0.727,3.679,CV
237,5.06,0.631,3.193,CV
238,5.06,0.822,4.159,CV
